id,title,authors,journal,year,source
305,human knee abnormality detection from imbalanced semg data,"vijayvargiya a., prakash c., kumar r., bansal s., r.s. tavares j.m.",biomedical signal processing and control,2021,scopus
306,a comprehensive review on multi-organs tumor detection based on machine learning,"sharif m.i., li j.p., naz j., rashid i.",pattern recognition letters,2020,scopus
307,"outlier detection in multimodal mri identifies rare individual phenotypes among more than 15,000 brains","ma z., reich d.s., dembling s., duyn j.h., koretsky a.p.",human brain mapping,2022,scopus
308,multiclass classification of spatially filtered motor imagery eeg signals using convolutional neural network for bci based applications,"shajil n., mohan s., srinivasan p., arivudaiyanambi j., arasappan murrugesan a.",journal of medical and biological engineering,2020,scopus
309,scalpnet: detection of spatiotemporal abnormal intervals in epileptic eeg using convolutional neural networks,"sakai t., shoji t., yoshida n., fukumori k., tanaka y., tanaka t.","icassp, ieee international conference on acoustics, speech and signal processing - proceedings",2020,scopus
310,eeg microstate features for schizophrenia classification,"kim k., duc n.t., choi m., lee b.",plos one,2021,scopus
311,an automatic scheme with diagnostic index for identification of normal and depression eeg signals,"akbari h., sadiq m.t., siuly s., li y., wen p.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2021,scopus
312,classification of heart sound signals using a novel deep wavenet model,"oh s.l., jahmunah v., ooi c.p., tan r.-s., ciaccio e.j., yamakawa t., tanabe m., kobayashi m., rajendra acharya u.",computer methods and programs in biomedicine,2020,scopus
313,improved deep learning technique to detect freezing of gait in parkinson’s disease based on wearable sensors,"li b., sun y., yao z., wang j., wang s., yang x.",electronics (switzerland),2020,scopus
314,driver safety development: real-time driver drowsiness detection system based on convolutional neural network,"hashemi m., mirrashid a., beheshti shirazi a.",sn computer science,2020,scopus
315,using eeg to detect driving fatigue based on common spatial pattern and support vector machine,"wang l., johnson d., lin y.",turkish journal of electrical engineering and computer sciences,2021,scopus
316,"the role of nutrition in space exploration: implications for sensorimotor, cognition, behavior and the cerebral changes due to the exposure to radiation, altered gravity, and isolation/confinement hazards of spaceflight","zwart s.r., mulavara a.p., williams t.j., george k., smith s.m.",neuroscience and biobehavioral reviews,2021,scopus
317,advancements in methods and camera-based sensors for the quantification of respiration,"rehouma h., noumeir r., essouri s., jouvet p.",sensors (switzerland),2020,scopus
318,"performance evaluation of dwt based sigmoid entropy in time and frequency domains for automated detection of epileptic seizures using svm classifier,","s. raghu, natarajan sriraam, yasin temel, shyam vasudeva rao, alangar satyaranjandas hegde, pieter l. kubben,","computers in biology and medicine,",2019,sciencedirect
319,"real-time data acquisition in human physiology: real-time acquisition, processing, and interpretation-a matlab-based approach",bansal d.,"real-time data acquisition in human physiology: real-time acquisition, processing, and interpretation-a matlab-based approach",2021,scopus
320,classification of schizophrenia by combination of brain effective and functional connectivity,"zhao z., li j., niu y., wang c., zhao j., yuan q., ren q., xu y., yu y.",frontiers in neuroscience,2021,scopus
321,expectation-maximization extreme machine learning classifier for epileptic seizure detection,"jaffino g., jose j.p., kumar k.s.","2021 international conference on forensics, analytics, big data, security, fabs 2021",2021,scopus
322,detection of adhd disorder using dynamic connectivity tensors in bidirectional circular reservoir computing,"bakhtyari m., mirzaei s.","2021 28th national and 6th international iranian conference on biomedical engineering, icbme 2021",2021,scopus
323,"detection of schizophrenia using hybrid of deep learning and brain effective connectivity image from electroencephalogram signal,","sara bagherzadeh, mohsen sadat shahabi, ahmad shalbaf,","computers in biology and medicine,",2022,sciencedirect
324,seizures classification based on higher order statistics and deep neural network,"sharma r., pachori r.b., sircar p.",biomedical signal processing and control,2020,scopus
325,"system-level matching of structural and functional connectomes in the human brain,","yusuf osmanlıoğlu, birkan tunç, drew parker, mark a. elliott, graham l. baum, rastko ciric, theodore d. satterthwaite, raquel e. gur, ruben c. gur, ragini verma,","neuroimage,",2019,sciencedirect
326,balancing prediction and surprise: a role for active sleep at the dawn of consciousness?,"van de poll m.n., van swinderen b.",frontiers in systems neuroscience,2021,scopus
327,"development and assessment of machine learning based heart disease detection using imbalanced heart sound signal,","adyasha rath, debahuti mishra, ganapati panda, madhumita pal,","biomedical signal processing and control,",2022,sciencedirect
328,long short-term memory and convolutional neural network for abnormal driving behaviour recognition,"jia s., hui f., li s., zhao x., khattak a.j.",iet intelligent transport systems,2020,scopus
329,role of computational intelligence techniques in diagnosing alzheimer's disease at early stages: a systematic literature review,"senthil kumar s., ranga swamy k.","proceedings of the international conference on electronics and renewable systems, icears 2022",2022,scopus
330,workshops of the eighth international brain–computer interface meeting: bcis: the next frontier,"huggins j.e., krusienski d., vansteensel m.j., valeriani d., thelen a., stavisky s., norton j.j.s., nijholt a., müller-putz g., kosmyna n., korczowski l., kapeller c., herff c., halder s., guger c., grosse-wentrup m., gaunt r., dusang a.n., clisson p., chavarriaga r., anderson c.w., allison b., aksenova t., aarnoutse e.",brain-computer interfaces,2022,scopus
331,"tensor-based dynamic brain functional network for motor imagery classification,","qizhong zhang, bin guo, wanzeng kong, xugang xi, yizhi zhou, farong gao,","biomedical signal processing and control,",2021,sciencedirect
332,outlier detection for water supply data based on joint auto-encoder,"fang s., huang l., wan y., sun w., xu j.","computers, materials and continua",2020,scopus
333,"an empirical mode decomposition approach for automated diagnosis of migraine,","zülfikar aslan,","biomedical signal processing and control,",2022,sciencedirect
334,hidden markov models to estimate the probability of having autistic children,"carvalho e.a., santana c.p., rodrigues i.d., lacerda l., bastos g.s.",ieee access,2020,scopus
335,motif2vec: semantic-aware representation learning for wearables’ time series data,"lin s., wu x., chawla n.v.","2021 ieee 8th international conference on data science and advanced analytics, dsaa 2021",2021,scopus
336,a review of deep learning approaches to eeg-based classification of cybersickness in virtual reality,caglar yildirim,preprints,2020,arxiv
337,"computer aided detection of prostate cancer using multiwavelength photoacoustic data with convolutional neural network,","nikhil dhengre, saugata sinha, bhargava chinni, vikram dogra, navalgund rao,","biomedical signal processing and control,",2020,sciencedirect
338,alterations in cortical-subcortical metabolism in temporal lobe epilepsy with impaired awareness seizures,"hou j., zhu h., xiao l., zhao c.w., liao g., tang y., feng l.",frontiers in aging neuroscience,2022,scopus
339,classifier implementation for spontaneous eeg activity during schizophrenic psychosis,"sahu r., dash s.r., cacha l.a., poznanski r.r., parida s.",computacion y sistemas,2021,scopus
340,"a benchmark for prediction of psychiatric multimorbidity from resting eeg data in a large pediatric sample,","nicolas langer, martyna beata plomecka, marius tröndle, anuja negi, tzvetan popov, michael milham, stefan haufe,","neuroimage,",2019,sciencedirect
341,"classification of covid-19 coronavirus, pneumonia and healthy lungs in ct scans using q-deformed entropy and deep learning features","hasan a.m., al-jawad m.m., jalab h.a., shaiba h., ibrahim r.w., al-shamasneh a.r.",entropy,2020,scopus
342,a deep convolutional neural network model for automated identification of abnormal eeg ,"ozal yıldırım, ulas baran baloglu, u. rajendra acharya",neural computing and applications,2018,sciencedirect
343,"twenty years on: myoclonus-dystonia and ε-sarcoglycan — neurodevelopment, channel, and signaling dysfunction","menozzi e., balint b., latorre a., valente e.m., rothwell j.c., bhatia k.p.",movement disorders,2019,scopus
344,graphical representation learning-based approach for automatic classification of electroencephalogram signals in depression,"soni s., seal a., yazidi a., krejcar o.",computers in biology and medicine,2022,scopus
345,learning signal representations for eeg cross-subject channel selection and trial classification,"michela c. massi, francesca ieva",preprints,2021,arxiv
346,performance analysis of deep learning models for detection of autism spectrum disorder from eeg signals,"radhakrishnan m., ramamurthy k., choudhury k.k., won d., manoharan t.a.",traitement du signal,2021,scopus
347,"spiking neural networks and hippocampal function: a web-accessible survey of simulations, modeling methods, and underlying theories","sutton n.m., ascoli g.a.",cognitive systems research,2021,scopus
348,ffunet: a novel feature fusion makes strong decoder for medical image segmentation,"xie j., zhu r., wu z., ouyang j.",iet signal processing,2022,scopus
349,characterizing tms-eeg perturbation indexes using signal energy: initial study on alzheimer's disease classification,"alexandra-maria tautan, elias casula, ilaria borghi, michele maiella, sonia bonni, marilena minei, martina assogna, bogdan ionescu, giacomo koch, emiliano santarnecchi",preprints,2022,arxiv
350,schizophrenia classification using resting state eeg functional connectivity: source level outperforms sensor level,"azizi s., hier d.b., wunsch d.c.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2021,scopus
351,deep soft clustering: simultaneous deep embedding and soft-partition clustering,"li k., ni t., xue j., jiang y.",journal of ambient intelligence and humanized computing,2021,scopus
352,detection of generalized tonic clonic seizures and falls in unconstraint environment using smartphone accelerometer,"zia s., khan a.n., zaidi k.s., ali s.e.",ieee access,2021,scopus
353,essential role for insyn1 in dystroglycan complex integrity and cognitive behaviors in mice,"uezu a., hisey e., kobayashi y., gao y., bradshaw t.w.a., devlin p., rodriguiz r., tata p.r., soderling s.h.",elife,2019,scopus
354,a novel approach based on pattern recognition techniques to evaluate magnetic properties of a non-grain oriented electrical steel in the secondary recrystallization process,"duarte l.m., de alencar santos j.d., freitas f.n.c., filho p.p.r., de abreu h.f.g.",measurement: journal of the international measurement confederation,2020,scopus
355,automatic micro-sleep detection under car-driving simulation environment using night-sleep eeg,"kweon y.-s., kwak h.-g., shin g.-h., lee m.","9th ieee international winter conference on brain-computer interface, bci 2021",2021,scopus
356,a deep learning model to intelligently identify the working status of screw pumps for oil well lifting,"wang z., oilfield s., dong y., zheng x., wang x., gao p., zhang l., huang y., sun w., zhang p.","society of petroleum engineers - spe/iatmi asia pacific oil and gas conference and exhibition 2021, apog 2021",2021,scopus
357,motor learning based on oscillatory brain activity using transcranial alternating current stimulation: a review,"takeuchi n., izumi s.-i.",brain sciences,2021,scopus
358,assessment of the autism spectrum disorder based on machine learning and social visual attention: a systematic review,"minissi m.e., chicchi giglioli i.a., mantovani f., alcañiz raya m.",journal of autism and developmental disorders,2022,scopus
359,computational diagnostic techniques for electrocardiogram signal analysis,"xie l., li z., zhou y., he y., zhu j.",sensors (switzerland),2020,scopus
360,improving multi-class motor imagery eeg signals classification using ensemble learning method,"nugroho d.k., setiawan n.a., nugroho h.a.","2021 9th international conference on information and communication technology, icoict 2021",2021,scopus
361,deep learning in biomedical optics,"tian l., hunt b., bell m.a.l., yi j., smith j.t., ochoa m., intes x., durr n.j.",lasers in surgery and medicine,2021,scopus
362,a new multi-feature classification scheme for normal and abnormal respiratory sounds discrimination,"antonakakis m., politof k., klados g.a., sdoukopoulou g., schiza s., panadogiorgaki m., farmaki c., pediaditis m., zervakis m.e., sakkalis v.","bibe 2021 - 21st ieee international conference on bioinformatics and bioengineering, proceedings",2021,scopus
363,research on improved fawt signal denoising method in evaluation of firefighter training efficacy based on semg,"li y., bai k., wang h., chen s., liu x., xu h.",biomedical signal processing and control,2022,scopus
364,a one-dimensional convolutional neural network model for automated localization of epileptic foci,"li b., zhao x., zhao q., tanaka t., cao j.","2019 asia-pacific signal and information processing association annual summit and conference, apsipa asc 2019",2019,scopus
365,detection of abnormalities in electrocardiogram (ecg) using deep learning,"pestana j., belo d., gamboa h.","biosignals 2020 - 13th international conference on bio-inspired systems and signal processing, proceedings; part of 13th international joint conference on biomedical engineering systems and technologies, biostec 2020",2020,scopus
366,"cross-session classification of mental workload levels using eeg and an adaptive deep learning model,","zhong yin, jianhua zhang,","biomedical signal processing and control,",2017,sciencedirect
367,temporal variability–based functional brain lateralization study in adhd,"zou h., yang j.",journal of attention disorders,2021,scopus
368,attention-based 3d cnn with residual connections for efficient ecg-based covid-19 detection,"sobahi n., sengur a., tan r.-s., acharya u.r.",computers in biology and medicine,2022,scopus
369,efficient deep neural network model for classification of grasp types using semg signals,"coskun m., yildirim o., demir y., acharya u.r.",journal of ambient intelligence and humanized computing,2021,scopus
370,a psycholinguistic study of auditory/verbal hallucinations: preliminary findings,david a.s.,the neuropsychology of schizophrenia,2019,scopus
371,a multi-domain connectome convolutional neural network for identifying schizophrenia from eeg connectivity patterns,"phang c.-r., noman f., hussain h., ting c.-m., ombao h.",ieee journal of biomedical and health informatics,2020,scopus
372,early brain activity: translations between bedside and laboratory,"luhmann h.j., kanold p.o., molnár z., vanhatalo s.",progress in neurobiology,2022,scopus
373,seizure prediction in scalp eeg based channel attention dual-input convolutional neural network,"sun b., lv j.-j., rui l.-g., yang y.-x., chen y.-g., ma c., gao z.-k.",physica a: statistical mechanics and its applications,2021,scopus
374,detection of schizophrenia: a machine learning algorithm for potential early detection and prevention based on event-related potentials,"frick j., rieg t., buettner r.",proceedings of the annual hawaii international conference on system sciences,2021,scopus
375,"human brain mapping: a systematic comparison of parcellation methods for the human cerebral cortex,","salim arslan, sofia ira ktena, antonios makropoulos, emma c. robinson, daniel rueckert, sarah parisot,","neuroimage,",2018,sciencedirect
376,convolutional neural network in predicting electrocardiogram,"bu y., wang x., wang s.",proceedings of spie - the international society for optical engineering,2021,scopus
377,an automatic epilepsy detection method based on improved inductive transfer learning,"yao y., cui z., jiang y.-z.",computational and mathematical methods in medicine,2020,scopus
378,representation learning for improved interpretability and classification accuracy of clinical factors from eeg,"garrett honke, irina higgins, nina thigpen, vladimir miskovic, katie link, sunny duan, pramod gupta, julia klawohn, greg hajcak",preprints,2020,arxiv
379,"advanced bioelectrical signal processing methods: past, present and future approach—part ii: brain signals","martinek r., ladrova m., sidikova m., jaros r., behbehani k., kahankova r., kawala-sterniuk a.",sensors,2021,scopus
380,a fall posture classification and recognition method based on wavelet packet transform and support vector machine,"zhang q., tao j., sun q., zeng x., dehmer m., zhou q.",applied sciences (switzerland),2021,scopus
381,diagnosis of attention deficit hyperactivity disorder with combined time and frequency features,"altınkaynak m., dolu n., güven a., pektaş f., özmen s., demirci e., i̇zzetoğlu m.",biocybernetics and biomedical engineering,2020,scopus
382,characterizing regularization techniques for spatial filter optimization in oscillatory eeg regression problems: guidelines derived from simulation and real-world data,"meinel a., castaño-candamil s., blankertz b., lotte f., tangermann m.",neuroinformatics,2019,scopus
383,multimodal mri assessment for first episode psychosis: a major change in the thalamus and an efficient stratification of a subgroup,"faria a.v., zhao y., ye c., hsu j., yang k., cifuentes e., wang l., mori s., miller m., caffo b., sawa a.",human brain mapping,2021,scopus
384,an electroencephalography connectome predictive model of major depressive disorder severity,"kabbara a., robert g., khalil m., verin m., benquet p., hassan m.",scientific reports,2022,scopus
385,dcavn: cervical cancer prediction and classification using deep convolutional and variational autoencoder network,"khamparia a., gupta d., rodrigues j.j.p.c., de albuquerque v.h.c.",multimedia tools and applications,2021,scopus
386,biomarkers for alzheimer's disease defined by a novel brain functional network measure,"song z, deng b, wang j, wang r.",ieee trans biomed eng,2019,pubmed
387,identifying brain abnormalities from electroencephalogram using evolutionary gravitational neocognitron neural network,"gomathi p., baskar s., shakeel p.m., dhulipala v.r.s.",multimedia tools and applications,2020,scopus
388,neuroimaging in psychiatry and neurodevelopment: why the emperor has no clothes,"anderson a.n., king j.b., anderson j.s.",british journal of radiology,2019,scopus
389,"machine learning prediction of adhd severity: association and linkage to adgrl3, drd4, and snap25","cervantes-henríquez m.l., acosta-lópez j.e., martinez a.f., arcos-burgos m., puentes-rozo p.j., vélez j.i.",journal of attention disorders,2022,scopus
390,a unified novel neural network approach and a prototype hardware implementation for ultra-low power eeg classification,"nikitakis a., makantasis k., tampouratzis n., papaefstathiou i.",ieee transactions on biomedical circuits and systems,2019,scopus
391,painometry: wearable and objective quantification system for acute postoperative pain,"truong h., bui n., raghebi z., ceko m., pham n., nguyen p., nguyen a., kim t., siegfried k., stene e., tvrdy t., weinman l., payne t., burke d., dinh t., d'mello s., banaei-kashani f., wager t., goldstein p., vu t.","mobisys 2020 - proceedings of the 18th international conference on mobile systems, applications, and services",2020,scopus
392,internet addiction disorder detection of chinese college students using several personality questionnaire data and support vector machine,"di z., gong x., shi j., ahmed h.o.a., nandi a.k.",addictive behaviors reports,2019,scopus
393,a fear detection method based on palpebral fissure,"praditsangthong r., slakkham b., bhattarakosol p.",journal of king saud university - computer and information sciences,2021,scopus
394,automated identification of insomnia using optimal bi-orthogonal wavelet transform technique with single-channel eeg signals,"sharma m., patel v., acharya u.r.",knowledge-based systems,2021,scopus
395,a spa-based manifold learning framework for motor imagery eeg data classification,"xiangyun li, peng chen, zhanpeng bao",preprints,2021,arxiv
396,machine-learning-based diagnostics of eeg pathology,"gemein l.a.w., schirrmeister r.t., chrabąszcz p., wilson d., boedecker j., schulze-bonhage a., hutter f., ball t.",neuroimage,2020,scopus
397,"deep learning of resting-state electroencephalogram signals for three-class classification of alzheimer's disease, mild cognitive impairment and healthy ageing","huggins c.j., escudero j., parra m.a., scally b., anghinah r., vitória lacerda de araújo a., basile l.f., abasolo d.",journal of neural engineering,2021,scopus
398,automated diagnosis of amyotrophic lateral sclerosis using electromyograms and firefly algorithm based neural networks with fractional position update,"bakiya a., kamalanand k., rajinikanth v.",physical and engineering sciences in medicine,2021,scopus
399,"cognitive network science: a review of research on cognition through the lens of network representations, processes, and dynamics","siew c.s.q., wulff d.u., beckage n.m., kenett y.n.",complexity,2019,scopus
400,learning incorrect verdict patterns of the established face recognizing cnn models using meta-learning supervisor ann,"selitskiy s., christou n., selitskaya n.",lecture notes in networks and systems,2022,scopus
401,detection of epileptic seizures from eeg signals by combining dimensionality reduction algorithms with machine learning models,"zubair m., belykh m.v., umesh kumar naik m., gouher m.f.m., vishwakarma s., ahamed s.r., kongara r.",ieee sensors journal,2021,scopus
402,"good scientific practice in meeg research: progress and perspectives,","guiomar niso, laurens r. krol, etienne combrisson, a.-sophie dubarry, madison a. elliott, clément françois, yseult héjja-brichard, sophie k. herbst, karim jerbi, vanja kovic, katia lehongre, steven j. luck, manuel mercier, john c. mosher, yuri g. pavlov, aina puce, antonio schettino, daniele schön, walter sinnott-armstrong, bertille somon, anđela šoškić, suzy j. styles, roni tibon, martina g. vilas, marijn van vliet, maximilien chaumon,","neuroimage,",2019,sciencedirect
403,"the internet of medical things (iomt): a vision on learning, privacy, and computing","vajar p., emmanuel a.l., ghasemieh a., bahrami p., kashef r.","international conference on electrical, computer, communications and mechatronics engineering, iceccme 2021",2021,scopus
404,ensemble generalized multiclass support-vector-machine-based health evaluation of complex degradation systems,"wu j., guo p., cheng y., zhu h., wang x.-b., shao x.",ieee/asme transactions on mechatronics,2020,scopus
405,real-time adversarial gan-based abnormal crowd behavior detection,"han q., wang h., yang l., wu m., kou j., du q., li n.",journal of real-time image processing,2020,scopus
406,annual research review: developmental computational psychiatry,"hauser t.u., will g.-j., dubois m., dolan r.j.",journal of child psychology and psychiatry and allied disciplines,2019,scopus
407,noise-resilient and interpretable epileptic seizure detection,"thomas a.h., aminifar a., atienza d.",proceedings - ieee international symposium on circuits and systems,2020,scopus
408,a computerized method for automatic detection of schizophrenia using eeg signals,"siuly s., khare s.k., bajaj v., wang h., zhang y.",ieee transactions on neural systems and rehabilitation engineering,2020,scopus
409,"review on eeg and erp predictive biomarkers for major depressive disorder,","wajid mumtaz, aamir saeed malik, mohd azhar mohd yasin, likun xia,","biomedical signal processing and control,",2015,sciencedirect
410,epileptic spike detection using neural networks with linear-phase convolutions,"fukumori k., yoshida n., sugano h., nakajima m., tanaka t.",ieee journal of biomedical and health informatics,2022,scopus
411,an automatic eeg-based sleep staging system with introducing naosp and naogp as new metrics for sleep staging systems,"melek m., manshouri n., kayikcioglu t.",cognitive neurodynamics,2021,scopus
412,epilepsy seizure detection by using bayesian optimize bi-lstm model,"sood v., kumar d., athavale v.a., gupta s.c.","pdgc 2020 - 2020 6th international conference on parallel, distributed and grid computing",2020,scopus
413,heart rate variability as a biomarker in health and affective disorders: a perspective on neuroimaging studies,"mulcahy j.s., larsson d.e.o., garfinkel s.n., critchley h.d.",neuroimage,2019,scopus
414,wlnet: towards an approach for robust workload estimation based on shallow neural networks,"sun z., li b., duan f., jia h., wang s., liu y., cichocki a., caiafa c.f., sole-casals j.",ieee access,2021,scopus
415,"using interictal seizure-free eeg data to recognise patients with epilepsy based on machine learning of brain functional connectivity,","jun cao, kacper grajcar, xiaocai shan, yifan zhao, jiaru zou, liangyu chen, zhiqing li, richard grunewald, panagiotis zis, matteo de marco, zoe unwin, daniel blackburn, ptolemaios g. sarrigiannis,","biomedical signal processing and control,",2021,sciencedirect
416,adhd children identification based on eeg using effective connectivity techniques,"shen m., wen p., song b., li y.",lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2021,scopus
417,variable step dynamic threshold local binary pattern for classification of atrial fibrillation,"yazid m., abdur rahman m.",artificial intelligence in medicine,2020,scopus
418,"early diagnosis of parkinson’s disease using eeg, machine learning and partial directed coherence","de oliveira a.p.s., de santana m.a., andrade m.k.s., gomes j.c., rodrigues m.c.a., dos santos w.p.",research on biomedical engineering,2020,scopus
419,light-weight 1-d convolutional neural network architecture for mental task identification and classification based on single-channel eeg,"manali saini, udit satija, madhur deo upadhayay",preprints,2020,arxiv
420,resistance to belief change: limits of learning,"lao j.r., young j.",resistance to belief change: limits of learning,2019,scopus
421,a deep-learning model for estimating the impact of social events on traffic demand on a cell basis,"bejarano-luque j.l., toril m., fernandez-navarro m., gijon c., luna-ramirez s.",ieee access,2021,scopus
422,fractional- order t- s fuzzy predictive control based free- form surface reconstruction,yan-chun g.,multimedia tools and applications,2020,scopus
423,anomaly detection and complex event processing over iot data streams: with application to ehealth and patient data monitoring,"schneider p., xhafa f.",anomaly detection and complex event processing over iot data streams: with application to ehealth and patient data monitoring,2022,scopus
424,a framework to evaluate and classify the clinical-level eeg signals with epilepsy,"chowdhury l., chowdhury b.r., rajinikanth v., dey n.",lecture notes in networks and systems,2021,scopus
425,the impact of feature extraction and selection for the classification of gait patterns between acl deficient and intact knees based on different classification models,"zeng w., ismail s.a., pappas e.",eurasip journal on advances in signal processing,2021,scopus
426,an optimized cnn based real world anomaly detection in surveillance videos,"thakur d., kaur r.",international journal of innovative technology and exploring engineering,2019,scopus
427,assessment and brain training of patients experiencing head and facial pain with a distortion of orofacial somatorepresentation: a narrative review,"von piekartz h., paris-alemany a.",applied sciences (switzerland),2021,scopus
428,multivariate triangular quantile maps for novelty detection,"wang j., sun s., yu y.",advances in neural information processing systems,2019,scopus
429,review of machine learning algorithms for diagnosing mental illness,"cho g., yim j., choi y., ko j., lee s.-h.",psychiatry investigation,2019,scopus
430,an xgboost-based physical fitness evaluation model using advanced feature selection and bayesian hyper-parameter optimization for wearable running monitoring,"guo j., yang l., bie r., yu j., gao y., shen y., kos a.",computer networks,2019,scopus
431,harnessing the power of artificial intelligence in otolaryngology and the communication sciences,"wilson b.s., tucci d.l., moses d.a., chang e.f., young n.m., zeng f.-g., lesica n.a., bur a.m., kavookjian h., mussatto c., penn j., goodwin s., kraft s., wang g., cohen j.m., ginsburg g.s., dawson g., francis h.w.",jaro - journal of the association for research in otolaryngology,2022,scopus
432,"classification of inter-ictal and ictal eegs using multi-basis modwpt, dimensionality reduction algorithms and ls-svm: a comparative study,","tao zhang, wanzhong chen, mingyang li,","biomedical signal processing and control,",2019,sciencedirect
433,"an empirical assessment of appearance descriptors applied to mri for automated diagnosis of tle and mci,","christoph hofer, roland kwitt, yvonne höller, eugen trinka, andreas uhl,","computers in biology and medicine,",2020,sciencedirect
434,tensor discriminant analysis for mi-eeg signal classification using convolutional neural network,"huang s., peng h., chen y., sun k., shen f., wang t., ma t.","proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",2019,scopus
435,data-driven blood glucose pattern classification and anomalies detection: machine-learning applications in type 1 diabetes,"woldaregay a.z., årsand e., botsis t., albers d., mamykina l., hartvigsen g.",journal of medical internet research,2019,scopus
436,classification of epileptic eeg signals using pso based artificial neural network and tunable-q wavelet transform,"george s.t., subathra m.s.p., sairamya n.j., susmitha l., joel premkumar m.",biocybernetics and biomedical engineering,2020,scopus
437,a comprehensive literature review on children's databases for machine learning applications,"al-azani s., sait s.m., al-utaibi k.a.",ieee access,2022,scopus
438,"automated asd detection using hybrid deep lightweight features extracted from eeg signals,","mehmet baygin, sengul dogan, turker tuncer, prabal datta barua, oliver faust, n. arunkumar, enas w. abdulhay, elizabeth emma palmer, u. rajendra acharya,","computers in biology and medicine,",2021,sciencedirect
439,"epileptic-seizure classification using phase-space representation of fbse-ewt based eeg sub-band signals and ensemble learners,","arti anuragi, dilip singh sisodia, ram bilas pachori,","biomedical signal processing and control,",2022,sciencedirect
440,"detection of multiple sclerosis from photic stimulation eeg signals,","büşra kübra karaca, mehmet feyzi akşahin, ruhsen öcal,","biomedical signal processing and control,",2021,sciencedirect
441,interictal eeg and ecg for sudep risk assessment: a retrospective multicenter cohort study,"chen z.s., hsieh a., sun g., bergey g.k., berkovic s.f., perucca p., d'souza w., elder c.j., farooque p., johnson e.l., barnard s., nightscales r., kwan p., moseley b., o'brien t.j., sivathamboo s., laze j., friedman d., devinsky o., hesdorffer d.c., misiewicz s., mendoza l., the ms-bios study group",frontiers in neurology,2022,scopus
442,diagnosing schizophrenia using effective connectivity of resting-state eeg data,"ciprian c., masychev k., ravan m., manimaran a., deshmukh a.",algorithms,2021,scopus
443,diagnosis of autism spectrum disorder with convolutional autoencoder and structural mri images,"mostafa s., wu f.-x.",neural engineering techniques for autism spectrum disorder: volume 1: imaging and signal analysis,2021,scopus
444,neuroprotective natural products for alzheimer’s disease,"chen x., drew j., berney w., lei w.",cells,2021,scopus
445,classification of schizophrenia patients through empirical wavelet transformation using electroencephalogram signals,"khare s.k., bajaj v., siuly s., sinha g.r.","modelling and analysis of active biopotential signals in healthcare, volume 1",2020,scopus
446,machine learning methods for diagnosing autism spectrum disorder and attention- deficit/hyperactivity disorder using functional and structural mri: a survey,"eslami t., almuqhim f., raiker j.s., saeed f.",frontiers in neuroinformatics,2021,scopus
447,predictive modeling of dwt-decomposed als-emg features using group method of data handling,"ullah khan m.a., dilshad a., anwar a.r.","2019 2nd international conference on computing, mathematics and engineering technologies, icomet 2019",2019,scopus
448,classification of advanced methods for evaluating neurotoxicity,"han k.-s., woo d.h.",molecular and cellular toxicology,2021,scopus
449,neuroimaging and electrophysiology meet invasive neurostimulation for causal interrogations and modulations of brain states,"gonzalez-escamilla g., muthuraman m., ciolac d., coenen v.a., schnitzler a., groppa s.",neuroimage,2020,scopus
450,hypertension diagnosis index for discrimination of high-risk hypertension ecg signals using optimal orthogonal wavelet filter bank,"rajput j.s., sharma m., acharya u.r.",international journal of environmental research and public health,2019,scopus
451,epileptic seizure classification based on gramian angular field transformation and deep learning,"shankar a., khaing h.k., dandapat s., barma s.","proceedings of 2020 ieee applied signal processing conference, aspcon 2020",2020,scopus
452,parkinsonism differently affects the single neuronal activity in the primary and supplementary motor areas in monkeys: an investigation in linear and nonlinear domains,"darbin o., hatanaka n., takara s., kaneko n., chiken s., naritoku d., martino a., nambu a.",international journal of neural systems,2020,scopus
453,recent use of deep learning techniques in clinical applications based on gait: a survey,"matsushita y., tran d.t., yamazoe h., lee j.-h.",journal of computational design and engineering,2021,scopus
454,"respiratory sound classification for crackles, wheezes, and rhonchi in the clinical field using deep learning","kim y., hyon y.k., jung s.s., lee s., yoo g., chung c., ha t.",scientific reports,2021,scopus
455,weak supervision as an efficient approach for automated seizure detection in electroencephalography,"saab k., dunnmon j., ré c., rubin d., lee-messer c.",npj digital medicine,2020,scopus
456,eeg classification of forearm movement imagery using a hierarchical flow convolutional neural network,"jeong j.-h., lee b.-h., lee d.-h., yun y.-d., lee s.-w.",ieee access,2020,scopus
457,deep learning for depression recognition with audiovisual cues: a review,"he l., niu m., tiwari p., marttinen p., su r., jiang j., guo c., wang h., ding s., wang z., pan x., dang w.",information fusion,2022,scopus
458,spp-eegnet: an input-agnostic self-supervised eeg representation model for inter-dataset transfer learning,"li x., metsis v.",lecture notes in networks and systems,2022,scopus
459,a realistic and public dataset with rare undesirable real events in oil wells,"vargas r.e.v., munaro c.j., ciarelli p.m., medeiros a.g., amaral b.g.d., barrionuevo d.c., araújo j.c.d.d., ribeiro j.l., magalhães l.p.",journal of petroleum science and engineering,2019,scopus
